"","year","pulses","mean_intensity","mean_duration","season_length"
"1",1989,5,6.625,3.2,68
"2",1990,3,4,2,61
"3",1991,8,3.46153846153846,3.25,109
"4",1992,1,1.66666666666667,3,3
"5",1993,1,3,2,2
"6",1994,2,4.15384615384615,6.5,25
"7",1995,4,6.25,5,49
"8",1996,6,3.76470588235294,2.83333333333333,97
"9",1997,1,10,2,2
"10",1998,3,5.36363636363636,3.66666666666667,63
"11",1999,4,5.52631578947368,4.75,56
"12",2000,2,1.75,2,6
"13",2001,5,1.64705882352941,3.4,59
"14",2002,4,2.8125,4,37
"15",2003,2,5.33333333333333,3,55
"16",2005,7,3.48,3.57142857142857,58
"17",2006,4,5.17647058823529,4.25,67
"18",2007,3,3,3.66666666666667,69
"19",2009,1,3.16666666666667,6,6
"20",2010,7,3.38095238095238,3,57
"21",2011,5,6.64,5,90
"22",2012,6,5.70833333333333,4,71
"23",2013,3,3.7,3.33333333333333,59
"24",2014,2,1,2.5,70
"25",2015,2,3.5,2,53
"26",2016,4,1.75,2,90
"27",2017,3,4.33333333333333,3,42
"28",2018,7,4.22222222222222,2.57142857142857,102
"29",2019,2,5.85714285714286,3.5,21
"30",2020,3,1.93333333333333,5,58
"31",2021,4,3.5,2,80
